Car Make,Location,Chassis No,Version/Class,Model Code,Milleage,Engine Size (CC),Engine Code,Drive,Steering,Transmission,External Color,Registration Year/Month,Fuel,Manufacture Year/Month,Price($)
 MITSUBISHI OUTLANDER,U.S.A,JA4AP4AU4KU013185,Sport SE FWD,"4Cyl
Find parts for this model code","7,079 mile","2,000cc",-,2wheel drive,Left,Automatic,Red,2019/-,Petrol,2019/0,18080
 MITSUBISHI LANCER,U.S.A,JA32U2FU8GU010814,ES FWD,"4Cyl
Find parts for this model code","70,981 mile","2,400cc",-,2wheel drive,Left,CVT,Gray,2016/-,Petrol,2016/0,10398
 MITSUBISHI DELICA D,OSAKA,CV1W-1112623,2.2D POWER PACKAGE 4WD,"LDA-CV1W
Find parts for this model code","39,236 km","2,267cc",4N14,4wheel drive,Right,Automatic,Pearl,2017/3,Diesel,-,29030
 MITSUBISHI ASX,UNITED KINGDOM,JMF1136,MANUAL DIESEL,0,"28,000 mile","1,800cc",-,4wheel drive,Right,Manual,White,2015/9,Diesel,-,12900
 MITSUBISHI ASX,UNITED KINGDOM,JMF1137,MANUAL DIESEL,0,"32,161 mile","1,800cc",-,4wheel drive,Right,Manual,Silver,2015/1,Diesel,-,14200
 MITSUBISHI ASX,UNITED KINGDOM,JMF1138,MANUAL DIESEL,0,"18,129 mile","1,600cc",-,4wheel drive,Right,Manual,White,2016/1,Diesel,-,14200
 MITSUBISHI ASX,UNITED KINGDOM,JMF1140,MANUAL DIESEL,0,"11,496 mile","1,600cc",-,4wheel drive,Right,Manual,Brown,2016/5,Diesel,-,16400
 MITSUBISHI ASX,UNITED KINGDOM,JMF1141,MANUAL DIESEL,0,"33,994 mile","1,600cc",-,4wheel drive,Right,Manual,Red,2016/9,Diesel,-,14500
 MITSUBISHI OUTLANDER,UNITED KINGDOM,JMF946,MANUAL DIESEL,0,"23,005 mile","2,200cc",-,4wheel drive,Right,Manual,White,2016/8,Diesel,-,16000
 MITSUBISHI OUTLANDER,UNITED KINGDOM,JMF947,AUTOMATIC DEISEL,0,"5,488 mile","2,200cc",-,4wheel drive,Right,Automatic,White,2017/6,Diesel,-,28100
